"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","912000","957000","947000","906000","972000","1211000","1178000","1225000","1184000","1304000","1286000","1285000","1254000","1383000","1420000","1394000","1469000","1481000","1667000","1739000","1832000","1758000","1863000","1897000","1951000","",
"Africa Eastern and Southern","AFE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11583544.7058296","13088654.2040979","13456245.9733439","14403851.8325464","15309377.8420342","15353177.301305","15854696.2860028","17383375.4157474","17844385.2820236","18745951.1627553","19917566.3729011","22650320.8799121","25114898.4367538","25413098.2674515","25964418.0695383","29071500.5114406","31650243.8841427","32748552.3906752","34426632.6796927","35738392.2140136","35318681.4645499","37645887.774466","38258347.875597","41189145.2687099","39826701.4025488","",
"Afghanistan","AFG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2670705.93365591","3027134.7330724","3243144.34732534","3422652.33694757","3897975.03054576","4162850.00307587","4615887.34170828","4697120.10955494","5013049.70972226","5839376.58498229","6320831.90878145","6955607.10540813","9389591.49388354","10157585.7759999","10569712.6444844","11070796.4548825","8902380.17844765","10221030.3977021","10085818.9405127","10544624.002472","13311681.7254405","13150775.3380124","","","","",
"Angola","AGO","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9000","21000","45000","52000","45000","51000","67000","91000","107000","194000","210000","121000","195000","294000","366000","425000","481000","528000","650000","595000","592000","397000","261000","218000","218000","",
"Albania","ALB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304000","287000","119000","184000","371000","317000","354000","470000","557000","645000","748000","937000","1127000","1420000","1856000","2417000","2932000","3514000","3256000","3673000","4131000","4736000","5118000","5927000","6406000","",
"Andorra","AND","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9422000","10991000","11351000","11507000","11601000","11668000","11049000","10737000","10743000","10194000","9112000","8551000","7983000","7900000","7676000","7797000","7850000","8025000","8152000","8328000","8235000","",
"Arab World","ARB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30238040.8141696","30557179.0607413","31691821.5063798","33564164.7455227","37847470.5117811","41402657.7413151","42608150.0664196","48672412.9641224","51600193.0739866","61688395.5366487","63984193.8738322","68925097.6935775","76481380.3996456","89066524.2434613","87860274.5555607","100534799.183654","84657021.5182061","94573456.5675326","94519121.5591786","100719164.937096","96757390.6070745","94989926.0523148","101336098.205896","109134074.924429","116080347.451054","",
"United Arab Emirates","ARE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2315000","2572000","2476000","2991000","3393000","3907000","4134000","5445000","5871000","6195000","7126000","","","","","","","","","16232000","17472000","18967000","20394000","21286000","21553000","",
"Argentina","ARG","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2289000","2614000","2764000","3012000","2898000","2909000","2620000","2820000","2995000","3457000","3823000","4173000","4562000","4700000","4308000","6800000","6703000","6497000","6510000","7165000","6816000","6668000","6711000","6942000","7399000","",
"Armenia","ARM","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12000","13000","23000","32000","41000","45000","123000","162000","206000","263000","319000","382000","511000","558000","575000","684000","758000","963000","1084000","1204000","1192000","1260000","1495000","1652000","1894000","",
